Bytes,RandomAccessLatency(ns),SequentialAccessLatency(ns)
96.0,1.11,0.02
104.0,1.17,0.03
120.0,1.28,0.03
128.0,1.18,0.02
144.0,1.16,0.01
160.0,1.2,0.03
176.0,1.14,0.02
192.0,1.14,0.0
208.0,1.28,0.03
232.0,1.18,0.03
256.0,1.14,-0.0
280.0,1.2,-0.02
312.0,1.16,-0.01
344.0,1.15,-0.01
376.0,1.24,0.03
416.0,1.13,0.02
456.0,1.18,0.03
504.0,1.18,0.02
552.0,1.17,0.02
608.0,1.17,0.03
672.0,1.3,0.01
736.0,1.18,-0.01
808.0,1.15,0.02
888.0,1.19,0.03
984.0,1.19,0.02
1080.0,1.18,0.03
1184.0,1.25,0.02
1304.0,1.18,0.02
1440.0,1.19,0.01
1584.0,1.2,0.02
1744.0,1.22,0.07
1912.0,1.16,-0.02
2104.0,1.18,-0.05
2320.0,1.17,0.04
2552.0,1.17,0.01
2808.0,1.19,0.0
3088.0,1.19,0.03
3400.0,1.18,0.02
3736.0,1.2,-0.05
4112.0,1.18,0.07
4520.0,1.18,0.03
4976.0,1.19,0.02
5472.0,1.18,0.03
6024.0,1.18,0.04
6624.0,1.25,-0.08
7288.0,1.18,0.04
8016.0,1.17,0.03
8816.0,1.23,0.02
9696.0,1.32,-0.0
10664.0,1.19,-0.01
11736.0,1.19,-0.04
12912.0,1.1,0.02
14200.0,1.18,0.02
15624.0,1.2,0.03
17184.0,1.18,0.02
18904.0,1.17,0.01
20792.0,1.19,0.04
22872.0,1.18,0.05
25160.0,1.16,0.03
27680.0,1.22,0.02
30448.0,1.19,0.03
33488.0,1.23,0.03
36840.0,1.37,0.11
40520.0,1.5,0.03
44576.0,1.62,0.04
49032.0,1.76,0.03
53936.0,1.92,0.08
59328.0,2.08,-0.05
65264.0,2.06,-0.04
71792.0,2.6,0.04
78968.0,2.76,0.02
86872.0,2.82,0.03
95552.0,2.82,0.03
105112.0,2.84,0.04
115624.0,2.97,0.02
127184.0,2.92,0.03
139904.0,2.51,0.03
153896.0,2.84,0.02
169288.0,2.9,0.03
186216.0,3.04,0.04
204840.0,3.13,0.02
225320.0,3.27,0.02
247856.0,3.61,0.03
272640.0,4.05,0.02
299904.0,4.58,0.0
329896.0,5.03,0.08
362880.0,5.53,0.07
399168.0,6.1,0.0
439088.0,6.5,0.07
483000.0,6.96,0.04
531296.0,7.35,-0.01
584432.0,7.58,0.06
642872.0,8.03,0.03
707160.0,8.42,0.02
777872.0,8.66,-0.0
855664.0,8.96,0.02
941232.0,9.16,0.01
1035352.0,9.45,0.03
1138888.0,9.68,0.07
1252776.0,9.91,-0.01
1378056.0,9.97,0.11
1515864.0,10.2,0.01
1667448.0,10.3,0.02
1834192.0,10.4,0.03
2017616.0,10.57,0.03
2219376.0,10.77,0.02
2441312.0,10.85,0.02
2685448.0,10.81,0.03
2953992.0,9.35,0.03
3249392.0,9.57,0.03
3574328.0,9.91,0.03
3931768.0,9.99,0.05
4324944.0,10.18,0.03
4757440.0,10.55,0.03
5233184.0,9.56,0.03
5756496.0,9.71,0.03
6332152.0,10.05,0.04
6965368.0,10.62,0.03
7661904.0,11.85,0.02
8428096.0,13.49,-0.01
9270904.0,12.52,0.02
10197992.0,16.41,0.06
11217792.0,20.49,0.08
12339576.0,24.29,0.01
13573528.0,27.64,0.12
14930888.0,31.54,0.08
16423976.0,34.5,0.21
18066368.0,37.08,0.13
19873008.0,39.47,0.15
21860312.0,41.89,0.14
24046344.0,43.92,0.14
26450976.0,45.73,0.15
29096072.0,47.65,0.16
32005680.0,49.25,0.15
35206248.0,50.52,0.07
38726872.0,51.69,0.15
42599560.0,53.04,0.15
46859520.0,54.23,0.16
51545472.0,55.28,0.13
56700016.0,55.95,0.14
62370024.0,56.77,0.1
68607024.0,57.51,0.11
75467728.0,58.42,0.14
83014504.0,59.21,0.26
91315952.0,60.69,0.15
100447544.0,61.82,0.13
110492304.0,62.06,0.15
121541528.0,62.2,0.17
133695688.0,62.65,0.14
147065256.0,62.92,0.15
161771776.0,63.54,0.15
177948960.0,63.83,0.15
195743856.0,64.28,0.16
215318240.0,64.65,0.18
236850064.0,64.9,0.15
260535072.0,65.04,0.15
286588576.0,65.42,0.17
315247440.0,65.56,0.16
346772184.0,65.92,0.14
381449400.0,66.23,0.11
419594336.0,66.25,0.16
461553776.0,66.36,0.17
507709152.0,66.48,0.12
558480064.0,66.53,0.14
614328072.0,66.78,0.15
675760880.0,66.92,0.15
743336968.0,67.06,0.15
817670672.0,66.97,0.17
899437736.0,67.1,0.15
989381512.0,67.18,0.14
1088319664.0,67.26,0.19
1197151632.0,67.36,0.15
1316866792.0,67.4,0.09
1448553472.0,67.4,0.16
1593408816.0,67.86,0.16
1752749704.0,67.49,0.14
1928024672.0,67.56,0.15
2120827136.0,67.67,0.15
2332909856.0,67.57,0.15
2566200840.0,67.64,0.16
2822820920.0,67.68,0.16
3105103016.0,67.72,0.16
3415613320.0,68.2,0.17
3757174648.0,68.57,0.16
4132892112.0,69.23,0.14
4546181328.0,69.4,0.18
5000799464.0,69.25,0.17
5500879408.0,69.63,0.16
